English	Pin Yin	Chinese	Audio	SpoodFed order
The wedding ceremony will take place tomorrow.	Hūnlǐ míngtiān jǔxíng.	婚礼明天举行。	[sound:tmph78y6k.mp3]	3423
The People's Congress of China is about to open.	Zhōngguó réndàhuì jíjiāng jǔxíng.	中国人大会即将举行。	[sound:tmpdcee1u.mp3]	3424
The sports meeting will be held tomorrow.	Yùndònghuì míngtiān jǔxíng.	运动会明天举行。	[sound:tmpc_d4sc.mp3]	3425
The school is about to hold a sporting event.	Xuéxiào jíjiāng kāi yīchǎng yùndònghuì.	学校即将开一场运动会。	[sound:tmp9x6pun.mp3]	3426
On Friday, the school is conducting a sports meet.	Xuéxiào zhōu wǔ jǔxíng yùndònghuì.	学校周五举行运动会。	[sound:tmpjjfuy_.mp3]	3427
This is a top-class hotel.	Zhè shì yī jiā dǐngjí jiǔdiàn.	这是一家顶级酒店。	[sound:tmpoy8wgi.mp3]	3428
Why couldn't you sleep last night?	wèishénme nǐ zuówǎn shuìbuzháo ?	为什么你昨晚睡不着？	[sound:333168.mp3]	3429
My bike was stolen last night. <br /> I had my bicycle stolen last night.	zuówǎn wǒ de zìxíngchē bèi tōu le .	昨晚我的自行车被偷了。	[sound:334530.mp3]	3430
Yesterday evening we heard the President talk on television.	zuówǎn wǒmen tīng le zǒngtǒng zài diànshì shàng de jiǎnghuà .	昨晚我们听了总统在电视上的讲话。	[sound:334904.mp3]	3431
Spring has come and the weather is getting warm.	Chūntiān lái le, qìhòu biàn wēnnuǎn le.	春天来了，气候变温暖了。	[sound:tmp5xfkwz.mp3]	3432
Earth's climate has changed.	Dìqiú de qìhòu gǎibiàn le.	地球的气候改变了。	[sound:tmppcydx2.mp3]	3433
Environments around the world have encountered destruction.	Zhěng gè dìqiú huánjìng dōu shòu dào pòhuài.	整个地球环境都受到破坏。	[sound:tmpjjg42m.mp3]	3434
The earth is round.	Dìqiú shì yuán de.	地球是圆的。	[sound:tmphzc_gt.mp3]	3435
Tonight's moon is very round.	Jīnwǎn de yuèliang hěn yuán.	今晚的月亮很圆。	[sound:tmpyngeri.mp3]	3436
Human beings have destroyed nature.	Rénlèi pòhuài le dà zìrán.	人类破坏了大自然。	[sound:tmpfap2tr.mp3]	3437
Terrorists destroy all kinds of facilities.	Kǒngbù fènzǐ pòhuài gèzhǒng shèshī.	恐怖分子破坏各种设施。	[sound:tmpyt5mxh.mp3]	3438
The natural environment has suffered great destruction by mankind.	Zìrán huánjìng zāodào le rénlèi hěn dà de pòhuài.	自然环境遭到了人类很大的破坏。	[sound:tmp7zz5gj.mp3]	3439
This is the surface of the earth.	Zhè shì dìqiú de biǎomiàn.	这是地球的表面。	[sound:tmpbc_cx3.mp3]	3440
The small boy is very courageous.	Xiǎo nánhái hěn yǒnggǎn.	小男孩很勇敢。	[sound:tmpxgqci6.mp3]	3441
Luggage is piled up on the ground.	Dìshang duīmǎnle xíngli.	地上堆满了行李。	[sound:tmplgvi1n.mp3]	3442
She would like to drink Cola.	Tā xiǎng hē kělè.	她想喝可乐。	[sound:R016-07.mp3]	3443
We drink a lot of Cola in America.	Wǒmen zài Měiguó hē hěn duōde kělè.	我们在美国喝很多的可乐。	[sound:G016-06.mp3]	3444
The construction workers are building a road.	Jiànzhù gōngrén zhèngzài xiūlù.	建筑工人正在修路。	[sound:tmpxfdtze.mp3]	3445
Newspapers, magazines, and newscasts tell what is going on in the world.	bàozhǐ . zázhì hé xīnwénguǎngbō jiǎngshù zhe shìjièshàng zhèngzài fāshēng de shì .	报纸、杂志和新闻广播讲述着世界上正在发生的事。	[sound:332822.mp3]	3446
My mother reads me stories from the book.	Māma gěi wǒ jiǎngshù shū lǐ de gùshi.	妈妈给我讲述书里的故事。	[sound:tmpz7szus.mp3]	3447
He told me the story of his life.	tā gěi wǒ jiǎngshù le tā de yīshēng .	他给我讲述了他的一生。	[sound:332594.mp3]	3448
She went to a drugstore to buy medicine.	Tā qù yàodiàn mǎi yào.	她去药店买药。	[sound:tmpkheafv.mp3]	3449
I need to go the pharmacy.	Wǒ xūyào qù yàodiàn.	我需要去药店。	[sound:R054-01.mp3]	3450
The pharmacy is next to the grocery store.	Yàodiàn zài chāoshì pángbiān.	药店在超市旁边。	[sound:R061-02.mp3]	3451
I get up at a fixed time every day.	Wǒ měi tiān dìngshí qǐchuáng.	我每天定时起床。	[sound:tmpg0gvf2.mp3]	3452
Young people should be self-reliant.	Niánqīnɡrén yīnggāi zìlìgēngshēng.	年轻人应该自力更生。	[sound:G049-07.mp3]	3453
Children must go to bed early without watching television.	háizimen bìxū bù kàn diànshì , shàng chuáng shuìjiào .	孩子们必须不看电视，上床睡觉。	[sound:334777.mp3]	3454
This candy box is empty.	Zhè gè tánghé kōng le.	这个糖盒空了。	[sound:tmpylftfa.mp3]	3455
She is writing on the chalkboard.	Tā zài hēibǎn shàng xiězì.	她在黑板上写字。	[sound:tmpu3u15h.mp3]	3456
Ann wrote something on the blackboard.	Ann zài hēibǎn shàng xiě le xiē shénme .	Ann在黑板上写了些什么。	[sound:333099.mp3]	3457
I don't know what to do.	Wǒ bù xiǎodé gāi zuò shénme!	我不晓得该做什么！	[sound:tmpaycivn.mp3]	3458
These two doors are very similar.	Zhè liǎng shàn mén hěn lèisì.	这两扇门很类似。	[sound:tmpoaln5a.mp3]	3459
It was yesterday that Jake broke this window.	shì zài zuótiān Jake dǎpò le zhè shān chuāng .	是在昨天Jake打破了这扇窗。	[sound:332461.mp3]	3460
This door is very shabby.	Zhè shàn mén hěn pòjiù.	这扇门很破旧。	[sound:tmp9ywhij.mp3]	3461
He succeeded in the face of great difficulties.	miànduì jùdà de kùnnan , tā chénggōng le .	面对巨大的困难，他成功了。	[sound:333116.mp3]	3462
Everyone please face the camera.	Qǐng dàjiā miànduì jìngtóu.	请大家面对镜头。	[sound:tmp_jrram.mp3]	3463
Her attire is very neat.	Tā de chuānzhuó hěn zhěngqí.	她的穿着很整齐。	[sound:tmps94dm5.mp3]	3464
The procession is very orderly.	Duìwǔ hěn zhěngqí.	队伍很整齐。	[sound:tmp5jmaao.mp3]	3465
There are many kinds of fruit in the supermarket.	Chāoshì lǐ yǒu gèzhǒng-gèyàng de shuǐguǒ.	超市里有各种各样的水果。	[sound:tmp34snmb.mp3]	3466
The ship has sunk.	Chuán chén le.	船沉了。	[sound:tmpipfo9l.mp3]	3467
He's sleeping soundly.	Tā shuì de hěn chén.	他睡得很沉。	[sound:tmpsj32k7.mp3]	3468
He is one of the greatest artists in Japan.	tā shì rìběn zuìwěidà de yìshùjiā zhīyī .	他是日本最伟大的艺术家之一。	[sound:332835.mp3]	3469
The power of love is great.	Àiqíng de lìliang shì wěidà de.	爱情的力量是伟大的。	[sound:tmp48ifu5.mp3]	3470
The military power of America is strong.	Měiguó jūnshì lìliang hěn qiáng.	美国军事力量很强。	[sound:tmpiy9m7k.mp3]	3471
The soldiers are in the midst of military drills.	Shìbīngmen zhèngzài jìnxíng jūnshì xùnliàn.	士兵们正在进行军事训练。	[sound:tmpx_r7lj.mp3]	3472
That nation bought weapons from France.	Gāi guó xiàng fǎguó gòumǎi jūnshì wǔqì.	该国向法国购买军事武器。	[sound:tmpssnrib.mp3]	3473
The leader of that nation invited the President of the US to visit his country.	Gāi guó lǐngdǎo rén yāoqǐng Měiguó zǒngtǒng fǎngwèn gāi guó.	该国领导人邀请美国总统访问该国。	[sound:tmpoot65_.mp3]	3474
The problem is yet to be solved.	Wèntí shàngwèi jiějué.	问题尚未解决。	[sound:tmpj9of8i.mp3]	3475
A new school term is near, but he has not yet completed his homework.	Kuài kāixué le, tā shàngwèi wánchéng zuòyè.	快开学了，他尚未完成作业。	[sound:tmpcate5k.mp3]	3476
They're very busy every day.	Tāmen měi tiān dōu hěn mánglù.	他们每天都很忙碌。	[sound:tmpobreqa.mp3]	3477
It's so cold that she caught a cold.	Yīnwèi tài lěng, tā gǎnmào le.	因为太冷，她感冒了。	[sound:tmpa0kzk3.mp3]	3478
Alice has had a cold since last Sunday.	Alice cóng shàngzhōu rì qǐ jiù gǎnmào le .	Alice从上周日起就感冒了。	[sound:333981.mp3]	3479
This flu brought me great suffering.	Zhècì gǎnmào gěi wǒ dàilái hěn dà de tòngkǔ.	这次感冒给我带来很大的痛苦。	[sound:tmpkptffd.mp3]	3480
The friend who I believed would pass the exam failed it.	nà ge wǒ rènwéi huì tōngguò kǎoshì de péngyou shībài le .	那个我认为会通过考试的朋友失败了。	[sound:333765.mp3]	3481
Waiter, I'd like to order.	fúwù shēng , wǒ yàodiǎn cài .	服务生，我要点菜。	[sound:333237.mp3]	3482
I don't care.	Wǒ wúsuǒwèi.	我无所谓。	[sound:tmpkhc865.mp3]	3483
Never mind, I don't care.	Méi guānxi! Wǒ wúsuǒwèi!	没关系！我无所谓！	[sound:tmpl5lcta.mp3]	3484
He was scolded by others, but he didn't care.	Biérén mà le tā, dàn tā wúsuǒwèi.	别人骂了他，但他无所谓。	[sound:tmpig3wh0.mp3]	3485
He is a criminal.	Tā shì fànrén.	他是犯人。	[sound:tmps1n1eb.mp3]	3486
Please open your mouth.	Qǐng zhāngkāi zuǐ.	请张开嘴。	[sound:tmpiqi4uj.mp3]	3487
Tom denied having stolen the money.	Tom fǒurèn tōu le qián .	Tom否认偷了钱。	[sound:332630.mp3]	3488
The boy denied having stolen the bicycle.	nà ge nánhái fǒurèn tōu le zìxíngchē .	那个男孩否认偷了自行车。	[sound:333998.mp3]	3489
There is no denying that she is very very efficient.	wúkěfǒurèn tā fēicháng yǒu nénglì .	无可否认她非常有能力。	[sound:333786.mp3]	3490
It is inevitable that I go to France someday, I just don't know when.	yǒu yī tiān wǒ qù Fǎguó shì wú kěbìmiǎn de , wǒ zhǐ shì bùzhī dào héshí .	有一天我去法国是无可避免的，我只是不知道何时。	[sound:335052.mp3]	3491
This model is definitely not suitable for the mainland and Taiwan.	Zhè zhǒng móshì bìng bù shìhé yú liǎng'àn.	这种模式并不适合于两岸。	[sound:tmpj3empo.mp3]	3492
She's wiping her tears.	Tā zài mǒ yǎnlèi.	她在抹眼泪。	[sound:tmppbr5mz.mp3]	3493
What can be used to replace energy sources?	Yòng shénme dàitì néngyuán?	用什么代替能源？	[sound:tmpzujd0g.mp3]	3494
Oil is a source of energy.	Shíyóu shì yīzhǒng néngyuán.	石油是一种能源。	[sound:tmpxowopa.mp3]	3495
The price of oil is increasingly expensive.	Shíyóu de jiàgé yuè lái yuè guì le.	石油的价格越来越贵了。	[sound:tmptu62wz.mp3]	3496
We are not short of oil in this country.	womenguójiā bù quē shíyóu .	我们国家不缺石油。	[sound:332861.mp3]	3497
Oil is a valuable energy resource.	Shíyóu shì yīzhǒng bǎoguì de néngyuán.	石油是一种宝贵的能源。	[sound:tmphwl2_b.mp3]	3498
This pillow is really comfortable.	Zhè gè zhěntou tài shūfu le.	这个枕头太舒服了。	[sound:tmpz8cylh.mp3]	3499
The pillow is very soft.	Zhěntou hěn ruǎn.	枕头很软。	[sound:tmpsknlfy.mp3]	3500
Hard is the opposite of soft.	Yǔ yìng xiāngduì de shì ruǎn.	与硬相对的是软。	[sound:R098-02.mp3]	3501
The rock is very hard.	Zhè kuài shítou hěn yìng.	这块石头很硬。	[sound:tmpuczqsa.mp3]	3502
My younger sister has gone to the seashore to collect stones.	Mèimei qù hǎibiān jiǎn shítou.	妹妹去海边捡石头。	[sound:tmpnbmg8o.mp3]	3503
They're junior middle school students.	Tāmen shì chūzhōngshēng.	他们是初中生。	[sound:tmpulbzut.mp3]	3504
What color balloons do you like?	Nǐ xǐhuan shénme yánsè de qìqiú?	你喜欢什么颜色的气球？	[sound:tmpx3dnq1.mp3]	3505
The little boy is blowing up a balloon.	Xiǎo nánhái zài chuī qìqiú.	小男孩在吹气球。	[sound:tmpeqfc6s.mp3]	3506
Reporters dig for news.	Jìzhě wā xīnwén.	记者挖新闻。	[sound:tmpaulnkh.mp3]	3507
Watching TV is not interesting.	Kàn diànshì méi yǒuqù.	看电视没有趣。	[sound:R023-07.mp3]	3508
Do you want to go see a movie?<br />I don't want to. Watching movies is not interesting.	Nǐ xiǎng qù kàn diànyǐng ma?<br />Bù xiǎng. Kàn diànyǐng méi yǒu qù.	A你想去看电影吗?<br/>B不想。看电影没有趣。	[sound:R023-DLG.mp3]	3509
He's composing a poem.	Tā zài xiěshī.	他在写诗。	[sound:tmp2gg98i.mp3]	3510
My classmate Mr. Bi has graduated.	Wǒde tóngxué bì xiānsheng yǐjīng bìyè le.	我的同学毕先生已经毕业了。	[sound:tmprgj5be.mp3]	3511
That is a high building, is not it?	nà shì chuáng gāolóu , bù shì ma ?	那是幢高楼，不是吗？	[sound:333840.mp3]	3512
What is that big building in front of us?	wǒmen miànqián de zhè chuáng gāolóu shì shénme ?	我们面前的这幢高楼是什么？	[sound:333567.mp3]	3513
A visa is needed to go abroad.	Chūguó yào bàn qiānzhèng.	出国要办签证。	[sound:tmp9jievu.mp3]	3514
I get up at seven in the morning.	Wǒ qī diǎn qǐchuáng.	我七点起床。	[sound:tmpii4uwy.mp3]	3515
The son has to get up at eight.	Érzi bìxū bā diǎn qǐchuáng.	儿子必须八点起床。	[sound:tmpb_pmg6.mp3]	3516
What time did you get up today?	Nǐ jīntiān jǐ diǎn qǐchuáng?	你今天几点起床？	[sound:R055-04.mp3]	3517
Would you take a picture of us with this camera?	nǐ néngyòng zhè tái xiàngjī bāng wǒmen pāi zhāng zhào ma ?	你能用这台相机帮我们拍张照吗？	[sound:333268.mp3]	3518
He was kind enough to take me to the hospital.	tā hǎoxīn dì bǎ wǒ sòng dào yīyuàn .	他好心地把我送到医院。	[sound:334052.mp3]	3519
There are two horses in the meadow.	Cǎodì shàng yǒu liǎng pǐ mǎ.	草地上有两匹马。	[sound:tmpoosvhb.mp3]	3520
My major is financial management.	Wǒ de zhuānyè shì cáiwùguǎnlǐ.	我的专业是财务管理。	[sound:R084-01.mp3]	3521
She lives next door.	Tā zhù zài gébì.	她住在隔壁。	[sound:tmppuyf1z.mp3]	3522
That child may have been kidnapped on his way home.	nà ge háizi kěnéng zài huíjiā de lùshang bèi bǎngjià le .	那个孩子可能在回家的路上被绑架了。	[sound:335102.mp3]	3523
Our country has joined the WTO.	Wǒguó jiārù shìjiè màoyì zǔzhī.	我国加入世界贸易组织。	[sound:tmp7w661o.mp3]	3524
That nation is listed as a developed country.	Gāi guó jiārù le fādá guójiā de míngdān.	该国加入了发达国家的名单。	[sound:tmppuby2u.mp3]	3525
Social benefits in the developed countries are very good.	Fādá guójiā de shèhuì fúlì hěn hǎo.	发达国家的社会福利很好。	[sound:tmp5534ds.mp3]	3526
Hey, look! What's that?	Āiyā, nǐ kàn nà shì shénme?	哎呀，你看那是什么?	[sound:tmpyjqvyx.mp3]	3527
She is reading a textbook.	Tā zài kàn jiàokēshū.	她在看教科书。	[sound:tmplt_ggk.mp3]	3528
This school supplies students with textbooks.	zhè suǒ xuéxiào wéi xuésheng tígōng jiàokēshū .	这所学校为学生提供教科书。	[sound:334982.mp3]	3529
He is sitting on the steps, reading.	Tā zuò zài táijiē shàng kànshū.	他坐在台阶上看书。	[sound:tmpcodhgv.mp3]	3530
Next weekend I want to go see the Beijing National Stadium.	Xià ɡè zhōumò wǒ yào qù kàn Běijīng guójiā tǐyùchǎng.	下个周末我要去看北京国家体育场。	[sound:G050-06.mp3]	3531
I'll give you a temporary treatment.	wǒ huì bāng nǐ yīngjí chǔlǐ yīxià .	我会帮你应急处理一下。	[sound:333086.mp3]	3532
She's my wife.	Tā shì wǒ de xífù.	她是我的媳妇。	[sound:tmpmzgubz.mp3]	3533
You've grown one centimenter taller.	Nǐ yòu zhǎnggāole yī límǐ.	你又长高了一厘米。	[sound:tmps0q0sv.mp3]	3534
She is every bit as competent in her work as others.	Tā de gōngzuò nénglì bùyàyú qítā rén.	她的工作能力不亚于其他人。	[sound:tmpnifytq.mp3]	3535
She wants to take a rest.	Tā xiǎng xiē yīhuìr.	她想歇一会儿。	[sound:tmpozbx6o.mp3]	3536
Xiao Mao likes playing basketball.	Xiǎo Máo xǐhuan dǎ lánqiú.	小毛喜欢打篮球。	[sound:tmpbjfdxq.mp3]	3537
The living conditions in this village are still very primitive.&nbsp;(formal)	Zhè gè cūnzi de shēnghuó tiáojiàn réngrán hěn yuánshǐ.	这个村子的生活条件仍然很原始。	[sound:tmpcdgsip.mp3]	3538
I'm pregnant.	Wǒ huáiyùn le.	我怀孕了。	[sound:tmpx6oode.mp3]	3539
My wife is pregnant.	Wǒ tàitai huáiyùn le.	我太太怀孕了。	[sound:tmpxqdog5.mp3]	3540
She is afraid of getting pregnant.	Tā hàipà huáiyùn.	她害怕怀孕。	[sound:R066-05.mp3]	3541
I'm pregnant. <br /> I am pregnant.	wǒ huáiyùn le .	我怀孕了。	[sound:333464.mp3]	3542
She has been pregnant for 9 months.	Tā huáiyùn jiǔge yuè le.	她怀孕九个月了。	[sound:tmpbq8lme.mp3]	3543
It was Alice who went to the concert yesterday.	zuótiān shì Alice qù le yǎnchànghuì .	昨天是Alice去了演唱会。	[sound:332687.mp3]	3544
Everyone is eating lunch.	Dàjiā zài chī wǔfàn.	大家在吃午饭。	[sound:tmpf9vo9l.mp3]	3545
He will eat lunch with his girlfriend.	Tā yào gēn nǚpéngyou yīqǐ chī wǔfàn.	他要跟女朋友一起吃午饭。	[sound:R021-03.mp3]	3546
Mother prepared a lunch for me.	māma wéi wǒ zhǔnbèi le wǔfàn .	妈妈为我准备了午饭。	[sound:332840.mp3]	3547
He has already had lunch.	tā yǐjīng chī guò wǔfàn le .	他已经吃过午饭了。	[sound:334783.mp3]	3548
I am going with my older brother to Suzhou.	Wǒ gēge yào gēn wǒ yīqǐ qu Sūzhōu.	我哥哥要跟我一起去苏州。	[sound:R021-07.mp3]	3549
He is a liar and cheated many people.	Tā shì ge piànzi, piàn le hěn duō rén.	他是个骗子，骗了很多人。	[sound:tmp1gvlqk.mp3]	3550
She is a big liar, I can't trust her.	Tā shì gè dà piànzi, wǒ bù néng xiāngxìn tā.	她是个大骗子，我不能相信她。	[sound:R094-05.mp3]	3551
They are competing in the long jump.	Tāmen zhèngzài bǐsài tiàoyuǎn.	他们正在比赛跳远。	[sound:tmpishlea.mp3]	3552
The government is progressively opening up the Three Direct Links.	Zhèngfǔ zhúbù kāifàng sān tōng.	政府逐步开放三通。	[sound:tmp5nktge.mp3]	3553
Mom dearly loves.	Māma hěn téng'ài wǒ. (also just teng2)	妈妈很疼爱我。	[sound:tmpdzoz0v.mp3]	3554
All parents dearly love their children.	Fùmǔ dōu téng'ài zìjǐ de háizi. (also just teng)	父母都疼爱自己的孩子。	[sound:tmp3y3ca4.mp3]	3555
Hey, come look at this.	Ō! Kuài kàn zhè gè!	噢！快看这个！	[sound:tmpfjxq5o.mp3]	3556
He's a student in the chemistry department.	Tā shì huàxuéxì de xuésheng.	他是化学系的学生。	[sound:tmpuddql1.mp3]	3557
That person met success in his struggle.	Nàge rén fèndòu chénggōng le.	那个人奋斗成功了。	[sound:tmpu8d3iv.mp3]	3558
In order to succeed in the test, we must struggle to the end.	Wèi le kǎoshì chénggōng, wǒmen yào fèndòu dào dǐ.	为了考试成功，我们要奋斗到底。	[sound:tmpkry4zy.mp3]	3559
She went up the steps.	Tā màishàngle táijiē.	她迈上了台阶。	[sound:tmp76v2cv.mp3]	3560
I have a headache.	Wǒ tóu téng.	我头疼。	[sound:tmp_qe8on.mp3]	3561
This ticket is valid for three months.	zhè zhāng piào 3 tiān nèi yǒuxiào .	这张票3天内有效。	[sound:334047.mp3]	3562
It is very effective to do it like this.	Zhème zuò, hěn yǒu xiàoguǒ.	这么做，很有效果。	[sound:tmppy1w8v.mp3]	3563
These are his great-grandchildren.	Zhèxiē dōu shì tā de zēngsūn.	这些都是他的曾孙。	[sound:tmpcbqcxa.mp3]	3564
Ms. Sun often goes out with friends to have a good time.	Sūn xiǎojiě chángcháng hé péngyou chūqù wánr.	孙小姐常常和朋友出去玩儿。	[sound:R069-07.mp3]	3565
Ms. Sun usually gets up early.	Sūn xiǎojiě tōngcháng hěn zǎo qǐchuáng.	孙小姐通常很早起床。	[sound:R055-02.mp3]	3566
Ten years is a long time to wait.	10 nián shì yī duàn màncháng de děngdài shíjiān .	10年是一段漫长的等待时间。	[sound:334447.mp3]	3567
It's easy to make friends in China.	Zài Zhōngguó jiāoyǒu hěn róngyì.	在中国交友很容易。	[sound:R072-06.mp3]	3568
He doesn't have many opportunities to make friends.	Tā méi yǒu hěn duō jīhuì jiāoyǒu.	他没有很多机会交友。	[sound:R082-02.mp3]	3569
For how long have you been living with your roommate?	Nǐ hé shìyǒu zhù zài yīqǐ duō cháng shíjiān le?	你和室友住在一起多长时间了？	[sound:R067-07.mp3]	3570
My roommate sometimes goes to bed late.	Wǒ de shìyǒu yǒushí shuìjiào hěn wǎn.	我的室友有时睡觉很晚。	[sound:R087-05.mp3]	3571
I'll see to it that you have a raise after the first year.	wǒ jiāng quèbǎo nǐmen zài dì yī nián hòu yǒu yī ge zēngzhǎng .	我将确保你们在第一年后有一个增长。	[sound:332684.mp3]	3572
It's really beautiful under the sea.	Hǎidǐ zhēn měi.	海底真美。	[sound:tmpguq6vi.mp3]	3573
She's in a beauty contest.	Tā cānjiāle xuǎnměi bǐsài.	她参加了选美比赛。	[sound:tmpifutcp.mp3]	3574
We are unanimous in selecting him as the class leader.	Xuǎn tā zuò bānzhǎng shì wǒmen yīzhì de yìjiàn.	选他做班长是我们一致的意见。	[sound:tmpu_hyhk.mp3]	3575
The class leader is counting his classmates' work.	Bānzhǎng zài tǒngjì tóngxuémen de zuòpǐn.	班长在统计同学们的作品。	[sound:tmp5psyou.mp3]	3576
According to statistics, the world's population is 6 billion.	Gēnjù tǒngjì, shìjiè rénkǒu yǒu liù shí yì.	根据统计，世界人口有六十亿。	[sound:tmpnzoskk.mp3]	3577
We conduct our business in accordance with the contract.	Wǒmen gēnjù hétong lái bànshì.	我们根据合同来办事。	[sound:tmph1phku.mp3]	3578
This judge handles matters very fairly.	Zhè gè fǎguān bànshì hěn gōngzhèng.	这个法官办事很公正。	[sound:tmpqou6ca.mp3]	3579
We elected her captain of our team.	wǒmen xuǎn tā wéi wǒmen duì de duìzhǎng .	我们选她为我们队的队长。	[sound:333818.mp3]	3580
He was elected mayor of the city.	tā bèi xuǎn wéi shìzhǎng .	他被选为市长。	[sound:332862.mp3]	3581
According to the Constitution, a President can only serve for 4 years.	Gēnjù xiànfǎ guīdìng, zǒngtǒng yījiè zhǐ néng zuò sìnián.	根据宪法规定，总统一届只能做四年。	[sound:tmpcdyfbj.mp3]	3582
The Constitution is the fundamental law of a country.	Xiànfǎ shì guójiā de gēnběn dà fǎ.	宪法是国家的根本大法。	[sound:tmpu9b9jn.mp3]	3583
She's choosing fruits.	Tā zài tiāoxuǎn shuǐguǒ.	她在挑选水果。	[sound:tmpivf4lv.mp3]	3584
Customers can select any of the foods in the supermarket they wish to.	Chāoshì lǐ de shípǐn kěyǐ rèn gùkè tiāoxuǎn.	超市里的食品可以任顾客挑选。	[sound:tmp3d8hmy.mp3]	3585
I teach at this primary school.	Wǒ zài zhè suǒ xiǎoxué rènjiào.	我在这所小学任教。	[sound:tmpv4lda8.mp3]	3586
She's choosing plums.	Tā zài tiāoxuǎn lǐzi.	她在挑选李子。	[sound:tmpq7odsg.mp3]	3587
I want to buy a shirt.	Wǒ xiǎng mǎi yī jiàn chènshān.	我想买一件衬衫。	[sound:tmpzki2zs.mp3]	3588
Can I try on this shirt?	Wǒ kěyǐ shì yīxià zhè jiàn chènshān ma?	我可以试一下这件衬衫吗？	[sound:R079-03.mp3]	3589
He is wearing a checkered shirt.	Tā chuānle jiàn gézi chènshān.	他穿了件格子衬衫。	[sound:tmpr42hno.mp3]	3590
He already compared the prices in all the stores.	Tā yǐjīng duìbǐ le suóyǒu shāngdiàn de shāngpǐn jiàgé.	他已经对比了所有商店的商品价格。	[sound:R093-06.mp3]	3591
This store has lots of discounted goods.	Zhèjiā shāngdiàn yǒu xǔduō yōuhuì shāngpǐn.	这家商店有许多优惠商品。	[sound:tmpw4ws89.mp3]	3592
Used cars are greatly discounted.	Èrshǒuchē de jiàgé hěn yōuhuì.	二手车的价格很优惠。	[sound:tmpu_kqmy.mp3]	3593
Please turn right.	Qǐng yòu zhuǎn.	请右转。	[sound:R103-01.mp3]	3594
Turn right at the next intersection.	Qiánmiàn lùkǒu wǎng yòu zǒu.	前面路口往右走。	[sound:tmpxyhspx.mp3]	3595
The Earth revolves around the Sun.	Dìqiú ràozhe tàiyáng zhuàn.	地球绕着太阳转。	[sound:tmpqxaexv.mp3]	3596
It's a fact that the Earth revolves around the Sun.	Dìqiú rào zhe tàiyáng zhuàn, zhè shì shìshí.	地球绕着太阳转，这是事实。	[sound:tmpkm_cbm.mp3]	3597
It is humid.	Tiānqì hěn shī.	天气很湿。	[sound:tmpslilx0.mp3]	3598
Wet is the opposite of dry.	Yǔ shī xiāngduì de shì gān.	与湿相对的是干。	[sound:R098-07.mp3]	3599
He's completely wet.	Tā húnshēn dōu shī le.	他浑身都湿了。	[sound:tmpbfs_nx.mp3]	3600
She feels very sad.	Tā gǎndào hěn bēi'āi.	她感到很悲哀。	[sound:tmp8supgn.mp3]	3601
You're late again.	Nǐ yòu chídào le.	你又迟到了。	[sound:tmp1t3lzr.mp3]	3602
He sometimes is a few minutes late.	Tā yǒushí chídào jǐ fēnzhōng.	他有时迟到几分钟。	[sound:R087-04.mp3]	3603
He was late for school yesterday.	tā zuótiān shàngxué chídào le .	他昨天上学迟到了。	[sound:333768.mp3]	3604
I must go, otherwise I'll be late.	Wǒ bìxū zǒu le, fǒuzé jiù chídào le.	我必须走了，否则就迟到了。	[sound:tmpt3uu8z.mp3]	3605
Mr. Lin is sometimes late for work.	Lín xiānsheng yǒushí shàngbān chídào.	林先生有时上班迟到。	[sound:R087-03.mp3]	3606
You were late for work.	nǐ shàngbān chídào le .	你上班迟到了。	[sound:332606.mp3]	3607
He is likely to be late for school.	tā shàngxué hěn kěnéng huì chídào .	他上学很可能会迟到。	[sound:334677.mp3]	3608
He explained his reason for being late to the teacher.	Tā xiàng lǎoshī jiěshì le chídào de yuányīn.	他向老师解释了迟到的原因。	[sound:tmpqtzgas.mp3]	3609
Over-sleeping is no excuse for being late.	shuìguòtóu bù shì chídào de lǐyóu .	睡过头不是迟到的理由。	[sound:333509.mp3]	3610
He apologized to his girlfriend because he was late for the date.	Tā yuēhuì chídào le, xiàng nǚ péngyou dàoqiàn.	他约会迟到了，向女朋友道歉。	[sound:tmp9nlll1.mp3]	3611
The teacher announced that no one can be late tomorrow.	Lǎoshī shēngmíng míngtiān bù néng chídào.	老师声明明天不能迟到。	[sound:tmpissf85.mp3]	3612
He's about to go on a date.	Tā zhǔnbèi fù yī gè yuēhuì.	他准备赴一个约会。	[sound:tmpe7kgmn.mp3]	3613
The Minister has decided to visit the United States next month.	Bùzhǎng juédìng xià yuè fù měi fǎngwèn.	部长决定下月赴美访问。	[sound:tmpbibbvr.mp3]	3614
The Minister of Economics held a press conference.	Jīngjì bùzhǎng kāi le jìzhěhuì.	经济部长开了记者会。	[sound:tmpecsdfv.mp3]	3615
He is always making excuses for being late so often.	Tā jīngcháng chídào, zǒngshì zhǎo jièkǒu.	他经常迟到，总是找借口。	[sound:tmpfnw_p3.mp3]	3616
Is it necessary for me to explain the reason to him?	wǒ yǒu bìyào xiàng tā jiěshì yuányīn ma ?	我有必要向他解释原因吗？	[sound:334843.mp3]	3617
The doctors are researching the cause of the illness.	Yīshēng men yánjiū fābìng de yuányīn.	医生们研究发病的原因。	[sound:tmpbpsb4f.mp3]	3618
