order	sentence	pinyin	english
4055	中国是个比较安定的国家。	Zhōngguó shì ge bǐjiào āndìng de guójiā.	China is a rather stable country.
4056	老百姓希望生活安定。	Lǎobǎixìng xīwàng shēnghuó āndìng.	Ordinary people want a stable life.
4057	玩具熊很可爱。	Wánjù xióng hěn kě'ài.	The toy bear is very cute.
4058	他们暑假去游泳。	Tāmen shǔjià qù yóuyǒng.	They went swimming on their summer vacation.
4059	他终于完成了暑假作业。	Tā zhōngyú wánchéng le shǔjià zuòyè.	He finally finished his summer homework.
4060	他的态度很强硬。	Tāde tàidù hěn qiángyìng.	His attitude is unyielding.
4061	美国的态度很强硬。	Měiguó de tàidù hěn qiángyìng.	The attitude of America is very hard-line.
4062	这辆车保养起来很贵。	zhè liàng chē bǎoyǎng qǐlai hěn guì .	It is expensive running this car.
4063	美国总统在合约上签字。	Měiguó zǒngtǒng zài héyuē shàng qiānzì.	The President of the United States signed the treaty.
4064	他在背单字。	Tā zài bèi dānzì.	He is memorizing vocabulary.
4065	学汉语记单字很重要。	Xué hànyǔ jì dānzì hěn zhòngyào.	It is important to memorize characters when learning Chinese.
4066	学好汉语很有意义。	Xué hǎo hànyǔ hěn yǒu yìyì.	It is very meaningful to learn Chinese well.
4067	这是我见过最美的景色了。	zhè shì wǒ jiànguo zuì měi de jǐngsè le .	This is the most beautiful sight that I have ever seen.
4068	傍晚的景色真美。	Bàngwǎn de jǐngsè zhēn měi.	The view at dusk is really beautiful.
4069	小狗的毛色雪白。	Xiǎogǒu de máosè xuěbái.	The color of the puppy's fur is as white as snow.
4070	那栋灰色的大楼吗？	nà dòng huīsè de dàlóu ma ?	That gray building?
4071	这儿有一只灰色的兔子。	Zhèr yǒu yī zhī huīsè de tùzi.	There is a grey rabbit here.
4072	她想试试紫色的衬衫。	Tā xiǎng shìshi zǐsède chènshān.	She would like to try on the purple shirt.
4073	他在追赶他们。	Tā zài zhuīgǎn tāmen.	He's chasing after them.
4074	秋天树叶会掉落。	qiūtiān shùyè huì diàoluò .	The leaves fall in autumn.
4075	箱子倒了。	Xiāngzi dǎo le.	The box fell.
4076	这些箱子很重。	Zhèxiē xiāngzi hěn zhòng.	These boxes are very heavy.
4077	这个箱子很轻。	Zhè gè xiāngzi hěn qīng.	This case is very light.
4078	他在喊“救命”。	Tā zài hǎn "jiùmìng".	He's crying "help".
4079	她愿意嫁给他。	Tā yuànyì jià gěi tā.	She's willing to marry him.
4080	她愿意嫁给我。	Tā yuànyì jià gěi wǒ.	She's willing to marry me.
4081	我妹妹嫁给了一个医生。	wǒ mèimei jiàgěi le yī gè yīshēng .	My sister married a doctor.
4082	她嫁给了一个有钱人。	tā jiàgěi le yī ge yǒu qián rén .	She married a rich man.
4083	他把他女儿嫁给了一个银行家。	tā bǎ tā nǚér jiàgěi le yī gè yínhángjiā .	He married his daughter to a bank clerk.
4084	我喜欢吃豆腐。	Wǒ xǐhuan chī dòufu.	I like bean curd.
4085	这里在进行自行车竞赛。	Zhèli zài jìnxíng zìxíngchē jìngsài.	A bicycle race is being held here.
4086	这次的知识竞赛，红队赢了。	Zhècì de zhīshí jìngsài, hóng duì yíng le.	During this knowledge competition, the red team won.
4087	这次的竞赛，蓝队赢了。	Zhè cì de jìngsài, lánduì yíng le.	In this competition, the blue team won.
4088	她们站成一行。	Tāmen zhànchéng yī háng.	They're standing in a row.
4089	教育预算增加了。	Jiàoyù yùsuàn zēngjiā le.	The education budget has increased.
4090	公司预算了这个项目的花费。	Gōngsī yùsuàn le zhè gè xiàngmù de huāfèi.	The company budgeted for the expense of this project.
4091	她是少数民族。	Tā shì shǎoshù mínzú.	She is an ethnic minority.
4092	他的话暗示着什么？	tā dehuà ànshì zhe shénme ?	What do his words imply?
4093	我喜欢爬山。	Wǒ xǐhuan páshān.	I like to go climbing.
4094	今天我们要去参加爬山活动。	Jīntiān wǒmen yào qù cānjiā páshān huódòng.	Today we are going climbing.
4095	我们约好明天去爬山。	Wǒmen yuē hǎo míngtiān qù páshān.	We have arangements to go climbing tomorrow.
4096	我们约好周末去黄山旅行。	Wǒmen yuē hǎo zhōumò qù Huángshān lǚxíng.	We have made reservations to travel to Huangshan this weekend.
4097	不能闯红灯。	Bù néng chuǎng hóngdēng.	You shouldn't run red lights.
4098	他闯红灯，违反了交通规则。	Tā chuǎng hóngdēng, wéifǎn le jiāotōng guīzé.	He violated traffic rules by running the red light.
4099	路上有很多泥。	Lùshang yǒu hěn duō ní.	There's a lot of mud on the road.
4100	他在泥墙。	Tā zài nìqiáng.	He's plastering the wall.
4101	这么高的墙，显然他翻不过去。	Zhème gāo de qiáng, xiǎnrán tā fān bù guòqù.	He clearly could not have climbed over such a high wall.
4102	我们的计划从一开始就出错了。	wǒmen de jìhuà cóng yī kāishǐ jiù chūcuò le .	Our plan went wrong from the beginning.
4103	慢慢来，不然你可能会出错的。	mànmàn lái , bùrán nǐ kěnéng huì chūcuò de .	Take your time, or you may make some mistakes.
4104	2008年奥运会是中国发展的一个机遇。	Èr líng líng bā nián àoyùn huì shì Zhōngguó fāzhǎn de yī gè jīyù.	The 2008 Olympic Games is an opportunity for China's development.
4105	爸爸今天很不耐烦。	bàba jīntiān hěnbù nàifán .	Dad's in an impatient mood today.
4106	她的手很巧。	Tā de shǒu hěn qiǎo.	She's very clever with her hands.
4107	她的手很巧,会自己做衣服。	Tāde shǒu hěn qiǎo, huì zìjǐ zuò yīfu.	Her hands are very nimble and she can make clothes herself.
4108	很巧！我正要去找你，你就来了。	Hěn qiǎo! wǒ zhèng yào qù zhǎo nǐ, nǐ jiù lái le.	What a coincidence! I was just about to fetch you and you are here.
4109	她觉得美国新任总统是一个性格坚强的人。	Tā juéde Měiguó xīnrèn zǒngtǒng shì yī gè xìnggé jiānqiáng de rén.	She feels that the new American president is a person of strong character.
4110	这道题目太深奥，我不会做。	Zhè dào tímù tài shēn'ào, wǒ bù huì zuò.	This subject is over my head, I can't do it.
4111	她在给宝宝换尿片。	Tā zài gěi bǎobao huàn niàopiàn.	She's changing the baby's diaper.
4112	他很矮。	Tā hěn ǎi.	He's very short.
4113	我比你矮。	Wǒ bǐ nǐ ǎi.	I am shorter than you.
4114	与高相对的是矮。	Yǔ gāo xiāngduì de shì ǎi.	Tall is the opposite of short.
4115	他受到了惩罚。	Tā shòudàole chéngfá.	He's been punished.
4116	要是我们做了同样的事，我们将会受到惩罚。	yàoshi wǒmen zuò le tóngyàng de shì, wǒmen jiāng huì shòudào chéngfá.&nbsp;(tongyang / tongyiyang / yiyang)	If we did the same thing, we should receive punishment.
4117	他犯错了，爸爸惩罚了他。	Tā fàn cuò le, bàba chéngfá le tā.	He made a mistake and his father punished him.
4118	那个坏人终于受到法律的惩罚。	Nàge huàirén zhōngyú shòudào fǎlǜ de chéngfá.	That bad guy was finally punished under the law.
4119	危险的行为应受到惩罚。	wēixiǎn de xíngwéi yīng shòudào chéngfá .	Dangerous driving should be punished.
4120	他手里拿着一本圣经。	Tā shǒuli názhe yī běn Shèngjīng.	He carries a copy of the Bible in his hand.
4121	小狗喜欢吃骨头。	Xiǎo gǒu xǐhuan chī gǔtou.	The little dog loves bones.
4122	一些同学看见我给了他巧克力。	yīxiē tóngxué kànjiàn wǒ gěi le tā qiǎokèlì.	Some classmate saw me give him chocolate.
4123	他穿灰色的大衣。	Tā chuān huīsède dàyī.	He is wearing a grey overcoat.
4124	他是一名出色的哲学家。	Tā shì yī míng chūsè de zhéxuéjiā.	He was an outstanding philosopher.
4125	我超重了。	Wǒ chāozhòng le.	I'm overweight.
4126	人类有很多种族。	Rénlèi yǒu hěn duō zhǒng zú.	Human kind has many ethnic groups.
4127	你真可恶。	Nǐ zhēn kěwù.	You're despicable (or You're such a jerk).
4128	她在酒店住宿。	Tā zài jiǔdiàn zhùsù.	She's staying in a hotel.
4129	留学生的住宿条件很好。	Liú xuésheng de zhù sù tiáojiàn hěn hǎo.	The dorms of overseas students is very good.
4130	这头象重几吨？	Zhè tóu xiàng zhòng jǐ dūn?	How many tons does this elephant weigh?
4131	他一报警，警察就迅速来了。	Tā yī bàojǐng, jǐngchá jiù xùnsù lái le.	As soon as he reported the incident to the police, the police came rapidly.
4132	他已经很久没有收到她的音信。	Tā yǐjing hěn jiǔ méiyǒu shōudào tā de yīnxìn.	He hasn't heard from her for quite a long time.
4133	孩子很依赖父母。	Háizi hěn yīlài fùmǔ.	Children are very dependent on their parents.
4134	我的网址是……	Wǒde wǎngzhǐ shì ……	My web address is …
4135	他把网址写在了黑板上。	Tā bǎ wǎngzhǐ xiě zài le hēibǎn shàng.	He wrote the web address on the blackboard.
4136	请把你们的全盘计划告诉我。	qǐng bǎ nǐmen de quán pán jìhuà gàosu wǒ .	Tell me all about your plan.
4137	我们应该多补充点维生素。	Wǒmen yīnggāi duō bǔchōng diǎn wéishēngsù.	We should take more supplemental vitamins.
4138	我听说《西游记》很有名。	Wǒ tīngshuō 《Xīyóujì》 hěn yǒu míng.	I’ve heard that the Journey to the West is very famous.
4139	《西游记》在西方不出名。	Xīyóujì zài Xīfāng bù chūmíng.	The Journey to the West is not famous in the West.
4140	白人怎么对待其他人种？	Báirén zěnme duìdài qítā rénzhǒng?	How do white people treat other races?
4141	大多数中国人是黄色人种。	Dàduōshù Zhōngguó rén shì huángsè rénzhǒng.	Most Chinese are of the yellow race.
4142	她戴着一顶黄色的帽子。	Tā dàizhe yī dǐng huángsè de màozi.	She's wearing a yellow hat.
4143	我买了一辆高档汽车。	Wǒ mǎile yī liàng gāodàng qìchē.	I bought a luxury car.
4144	她正在听音乐。	Tā zhèngzài tīng yīnyuè.	She's listening to music.
4145	她爱听音乐。	Tā ài tīng yīnyuè.	She loves listening to music.
4146	他喜欢听音乐。	Tā xǐhuan tīng yīnyuè.	He likes to listen to music.
4147	我的爱好是听音乐。	Wǒde àihào shì tīng yīnyuè.	My hobby is listening to music.
4148	刘先生今天很生气。	Liú xiānsheng jīntiān hěn shēngqì.	Mr. Liu is very angry today.
4149	刘先生今天回苏州。	Liú xiānsheng jīntiān huí Sūzhōu.	Mr. Liu is going back to Suzhou today.
4150	刘先生跟家人在一起。	Liú xiānsheng gēn jiārén zài yīqǐ.	Mr. Liu is with his family.
4151	刘先生不可以回家。	Liú xiānsheng bù kěyǐ huí jiā.	Mr. Liu can't go home.
4152	刘先生昨天来了。	Liú xiānsheng zuótiān lái le.	Mr. Liu came yesterday.
4153	他跟刘先生一起工作。	Tā gēn Liú xiānsheng yīqǐ gōngzuò.	He works with Mr. Liu.
4154	刘先生是什么地方人？	Liú xiānsheng shì shénme dìfang rén?	Where is Mr. Liu from?
4155	刘先生不喜欢单身。	Liú xiānsheng bù xǐhuan dānshēn.	Mr. Liu does not like being single.
4156	刘先生今天要去办公室。	Liú xiānsheng jīntiān yào qù bàngōngshì.	Mr. Liu wants to go to the office today.
4157	刘先生教历史。	Liú xiānsheng jiāo lìshǐ.	Mr. Liu teaches history.
4158	刘先生英语发音不好。	Liú xiānshēng Yīngyǔ fāyīn bù hǎo.	Mr. Liu's English pronunciation is not good.
4159	报纸印刷好了。	Bàozhǐ yìnshuā hǎo le.	The newspapers have been printed.
4160	老师列出了优秀学生的名单。	Lǎoshī lièchū le yōuxiù xuésheng de míngdān.	The teacher made a list of excellent students.
4161	欧洲是艺术的天堂。	Ōuzhōu shì yìshù de tiāntáng.	Europe is heaven for the arts.
4162	艺术和色情，怎么区别？	Yìshù hé sèqíng, zěnme qūbié?	How to differentiate between art and pornography?
4163	有时候，黄色代表色情。	Yǒushíhou, huángsè dàibiǎo sèqíng.	Sometimes, the color yellow represents pornography.
4164	许多色情网站被政府关闭了。	Xǔduō sèqíng wǎngzhàn bèi zhèngfǔ guānbì le.	Many porn websites were shut down by the government.
4165	他的球艺很好。	Tā de qiúyì hěn hǎo.	His soccer skills are excellent.
4166	乡下的空气很好。	Xiāngxia de kōngqì hěn hǎo.	The air in the countryside is very fresh.
4167	乡下的卫生太差了。	Xiāngxià de wèishēng tài chà le.	The state of sanitation in the countryside is very bad.
4168	乡下老百姓生活很苦。	Xiāngxia lǎobǎixìng shēnghuó hěn kǔ.	The lives of people in the countryside are very bitter.
4169	他住在乡下。	Tā zhùzài xiāngxia.	He lives in the countryside.
4170	他们到乡下去度假。	Tāmen dào xiāngxia qù dùjià.	They went to the countryside to vacation.
4171	她太放任她的孩子们了。	tā tài fàngrèn tā de háizimen le .	She lets her children have their own way too much.
4172	这杯茶很烫。	Zhè bēi chá hěn tàng.	This cup of tea is very hot.
4173	她在烫衣服。	Tā zài tàng yīfu.	She's ironing the clothes.
4174	那个东西很值钱。	Nàge dōngxi hěn zhíqián.	That is very valuable.
4175	他狠狠地骂我。	Tā hěnhěn de mà wǒ.	He cursed me ferociously.
4176	我想去西雅图。	wǒ xiǎng qù xīyātú .	I want to go to Seattle.
4177	他的情绪很低落。	Tā de qíngxù hěn dīluò.	He is dejected.
4178	他端着啤酒走过来。	Tā duānzhe píjiǔ zǒu guòlái.	He came over, carrying a tray of beer.
4179	今天是晴天。	Jīntiān shì qíngtiān.	It's sunny today.
4180	该国列入了发达国家的名单。	Gāi guó lièrù le fādá guójiā de míngdān.	That country is listed as a developed country.
4181	这章内容已被列入考试范围。	Zhè zhāng nèiróng yǐ bèi lièrù kǎoshì fànwéi.	This content has been listed as being within the scope of the exam.
4182	你应该打扫厨房。	Nǐ yīnggāi dǎsǎo chúfáng.	You should clean the kitchen.
4183	这个教室很久没有人打扫了。	Zhè gè jiàoshì hěn jiǔ méiyǒurén dǎsǎo le.	This classroom hasn't been cleaned in a long time.
4184	我需要打扫这个房间。	Wǒ xūyào dǎsǎo zhè gè fángjiān.	I need to clean this room.
4185	公寓被打扫得很干净。	Gōngyù bèi dǎsǎode hěn gānjìng.	The apartment has been given a thorough cleaning.
4186	地面打扫得真干净！	Dìmiàn dǎsǎode zhēn gānjìng!	The floor was wiped clean!
4187	我在打扫卫生间。	Wǒ zài dǎsǎo wèishēnɡjiān.	I am cleaning the bathroom.
4188	他早上打扫卫生间了。	Tā zǎoshang dǎsǎo wèishēnɡjiān le.	He cleaned the bathroom this morning.
4189	我下午打扫卧室了。	Wǒ xiàwǔ dǎsǎo wòshì le.	I cleaned the bedroom this afternoon
4190	我直接走向卧室。	Wǒ zhíjiē zǒuxiàng wòshì.	I go straight toward the bedroom.
4191	卧室很舒适。	Wòshì hěn shūshì.	The bedroom is comfortable.
4192	卧室里有一张单人床。	Wòshì lǐ yǒu yī zhāng dānrénchuáng.	There's a single bed in the bedroom.
4193	刚出门，忽然下起了大雨。	Gāng chūmén, hūrán xiàqǐle dàyǔ.	It started to rain heavily just when I stepped out the door.
4194	孔小姐决定跟她男朋友分手了。	Kǒng xiǎojiě juédìng gēn tā nánpéngyou fēnshǒu le.	Ms. Kong decided to break up with her boyfriend.
4195	孔老师今天要教三堂课。	Kǒng lǎoshī jīntiān yào jiāo sān táng kè.	Kong teacher will teach three classes today.
4196	孔老师爱好诗词。	Kǒng lǎoshī àihào shīcí.	Teacher Kong is keen on poetry.
4197	他们接受了委托。	Tāmen jiēshòule wěituō.	They've accepted the job.
4198	他是罪犯。	Tā shì zuìfàn.	He is a criminal.
4199	监狱里关着罪犯。	Jiānyù li guān zhe zuìfàn.	Criminals are kept in prison.
4200	罪犯被关进了监狱。	Zuìfàn bèi guānjìnle jiānyù.	The criminal has been put in prison.
4201	他是一个邪恶的罪犯。	Tā shì yī gè xié'è de zuìfàn.	He is an evil criminal.
4202	这里的交通很拥挤。	Zhèli de jiāotōng hěn yōngjǐ.	The traffic is really heavy here.
4203	我被调到了人事部门。	Wǒ bèi diào dào le rénshì bùmén.	I was transferred to human resources department.
4204	这里有两根筷子。	Zhèli yǒu liǎng gēn kuàizi.	There are two chopsticks here.
4205	我会用筷子吃饭。	Wǒ huì yòng kuàizi chīfàn.	I know how to eat with chopsticks.
4206	中国人用筷子吃饭。	Zhōngguó rén yòng kuàizi chīfàn.	Chinese people use chopsticks to eat.
4207	这是谁的筷子？	Zhè shì shéi de kuàizi?	Whose chopsticks are these?
4208	国会审查那个案子。	Guóhuì shěnchá nàge ànzi.	Congress is investigating that case.
4209	有人举报了他，警察在审查他。	Yǒu rén jǔbào le tā, jǐngchá zài shěnchá tā.	Somebody reported on him. The police are investigating him.
4210	你觉得这件毛衣怎么样？	nǐ juéde zhè jiàn máoyī zěnmeyàng ?	What do you think of this sweater?
4211	孩子在这条河里游泳太危险了。	háizi zài zhè tiáo hé lǐ yóuyǒng tài wēixiǎn le .	This river is dangerous for children to swim in.
4212	他到北京寻求新的发展机会。	Tā dào Běijīng xúnqiú xīn de fāzhǎn jīhuì.	He came to Beijing to seek new opportunities for (economic) growth.
4213	这件事情绝对要保密。	Zhèjiàn shìqing juéduì yào bǎomì.	This matter must absolutely be kept confidential.
4214	陈先生不是商人。	Chén xiānsheng bù shì shāngrén.	Mr. Chen is not a businessperson.
4215	陈先生不是大学生。	Chén xiānsheng bù shì dàxuéshēng.	Mr. Chen is not a university student.
4216	陈先生什么时候要去加拿大？	Chén xiānsheng shénme shíhòu yào qù Jiānádà?	When will Mr. Chen go to Canada?
4217	陈先生不是韩国人。	Chén xiānshēng bù shì Hánguórén.	Mr. Chen is not Korean.
4218	陈先生比你胖。	Chén xiānsheng bǐ nǐ pàng.	Mr. Chen is fatter than you.
4219	他不认识陈先生。	Tā bú rènshi Chén xiānsheng.	He doesn't know Mr. Chen.
4220	这是陈先生的手机。	Zhè shì Chén xiānsheng de shǒujī.	This is Mr. Chen's cell phone.
4221	给陈先生打电话。	Gěi Chén xiānsheng dǎ diànhuà.	Give Mr. Chen a phone call.
4222	陈先生在商店。	Chén xiānshēng zài shāngdiàn.	Mr. Chen is at the store.
4223	A陈先生,您去学校吗?<br/>B是,我去学校。你呢?	Chén xiānsheng, nín qù xuéxiào ma?<br />Shì, wǒ qù xuéxiào. Nǐ ne?	Mr. Chen, are you going to school?<br />Yes, I am going to school. And you?
4224	你怎么认识陈先生的？	Nǐ zěnme rènshi Chén xiānsheng de?	How do you know Mr. Chen?
4225	陈先生不会说英语。	Chén xiānsheng bú huì shuō Yīngyǔ.	Mr. Chen doesn't know how to speak English.
4226	陈先生没有手机。	Chén xiānsheng méi yǒu shǒujī.	Mr. Chen does not have a cell phone.
4227	我认识陈先生。	Wǒ rènshi Chén xiānsheng.	I know Mr. Chen.
4228	陈先生从哪里来？	Chén xiānsheng cóng nǎli lái?	Where does Mr. Chen come from?
4229	请问,陈先生在哪里？	Qǐngwèn, Chén xiānsheng zài nǎli?	Excuse me, where is Mr. Chen?
4230	陈先生几点下班？	Chén xiānsheng jǐdiǎn xiàbān?	What time does Mr. Chen finish work?
4231	陈先生的英语说得不好。	Chén xiānshengde Yīngyǔ shuōde bù hǎo.	Mr. Chen doesn't speak English well.
4232	陈先生在宾馆。	Chén xiānsheng zài bīnguǎn.	Mr. Chen is at the hotel.
4233	陈先生今天很累。	Chén xiānsheng jīntiān hěn lèi.	Mr. Chen is very tired today.
4234	陈先生不是美国人。	Chén xiānsheng bú shì Měiguórén.	Mr. Chen is not American.
4235	陈先生很有意思。	Chén xiānsheng hěn yǒu yìsi.	Mr. Chen is very interesting.
4236	陈先生不喜欢喝可乐。	Chén xiānshēng bù xǐhuan hē kělè.	Mr. Chen does not like to drink Cola.
4237	A陈先生英语说得很好。<br/>B是,他在加拿大住过三年。	Chén xiānsheng Yīngyǔ shuōde hěn hǎo.<br />Shì, tā zài Jiānádà zhùguò sān nián.	Mr. Chen speaks English really well.<br />Yes, he lived in Canada for three years.
4238	陈先生的爱好是书法。	Chén xiānshēngde àihào shì shūfǎ.	Mr. Chen's hobby is calligraphy.
4239	我饱了。	Wǒ bǎo le.	I'm full.
4240	我收到一张请帖。	Wǒ shōudào yī zhāng qǐngtiě.	I've received an invitation.
4241	我收到了一张请帖。	wǒ shōudào le yī zhāng qǐngtiě .	I received an invitation.
4242	政府忽略了老百姓的想法。	Zhèngfǔ hūlüè le lǎobǎixìng de xiǎngfa.	The government neglected the people's opinions.
4243	学生不该忽略自己的身份。	xuésheng bù gāi hūlvè zìjǐ de shēnfèn .	A student should not lose sight of his own identity.
4244	他忙于工作，忽略了对孩子的教育。	Tā mángyú gōngzuò, hūlüè le duì háizi de jiàoyù.	He is busy with work and neglected his children's education.
4245	我一直忙于写一部短篇小说。	wǒ yīzhí máng yú xiě yī bù duǎn piān xiǎoshuō .	I have been busy writing a short story.
4246	化学属于理科。	Huàxué shǔyú lǐkē.	Chemistry is branch of the natural sciences.
4247	这条街很繁华。	Zhè tiáo jiē hěn fánhuá.	This street is bustling.
4248	你不得不制造一些借口。	nǐ bùdébù zhìzào yīxiē jièkǒu .	You'll have to manufacture some kind of excuse.
4249	老板赞成我提的意见。	Lǎobǎn zànchéng wǒ tí de yìjiàn.	The boss approved of my suggestion.
4250	你赞成还是反对这个计划？	nǐ zànchéng háishì fǎnduì zhè gè jìhuà ?	Are you for or against the plan?
4251	我赞成你的意见。	Wǒ zànchéng nǐde yìjiàn.	I agree with you.
4252	我不在乎。	Wǒ bù zàihu.	I don't care.
4253	这栋房子太陈旧了。	Zhè dòng fángzi tài chénjiù le.	This house is too old.
4254	这里有一壶茶。	Zhèli yǒu yī hú chá.	Here is a pot of tea.
4255	当局应该注意这个问题。	Dāngjú yīnggāi zhùyì zhè gè wèntí.	The authorities should pay attention to this issue.
4256	政府当局发表了一个声明。	Zhèngfǔ dāngjú fābiǎo le yīge shēngmíng.	The government authorities put out an announcement.
4257	他在讲台上发表演讲。	Tā zài jiǎngtái shàng fābiǎo yǎnjiǎng.	He's standing at the dais giving a speech.
4258	总统下台了，许多人发表了评论。	Zǒngtǒng xiàtái le, xǔduō rén fābiǎo le pínglùn.	Many people put out commentary on the President's having left office.
4259	他们正在建造房子。	Tāmen zhèngzài jiànzào fángzi.	They're building a house.
4260	一般来说,学生们在学习上进步很快。	Yībānláishuō, xuéshengmen zài xuéxí shàng jìnbù hěn kuài.	Generally speaking, the students have made quick progress in their studies.
4261	一般来说,企业管理是一个受欢迎的专业。	Yībānláishuō, qǐyèguǎnlǐ shì yī gè shòuhuānyíngde zhuānyè.	Generally speaking, business management is a popular major.
4262	地球环境在不断地恶化。	Dìqiú huánjìng zài bùduàn de èhuà.	The earth's environment is constantly deteriorating.
4263	他的病情恶化了。	Tāde bìngqíng èhuà le.	His illness worsened.
4264	空气品质恶化了。	Kōngqì pǐnzhì èhuà le.	Air quality has deteriorated.
4265	京都有很多所大学。	jīngdū yǒu hěn duō suǒ dàxué .	Kyoto has many universities.
4266	你去过京都吗？	nǐ qù guò jīngdū ma ?	Have you ever been to Kyoto? <br /> Have you ever visited Kyoto?
4267	据说山上的天气变化很快。	jùshuō shān shàng de tiānqì biànhuà hěn kuài .	It is said that the weather in the mountain changes easily.
4268	据说，他考上了东京大学。	Jùshuō, tā kǎo shàng le dōngjīng dàxué.	It is said that he got into Tokyo University.
4269	李明考上了医学博士。	Lǐ Míng kǎo shàng le yīxué bóshì.	Li Ming passed his exam to become a Ph.D.
4270	电灯亮了。	Diàndēng liàng le.	The lights are on.
4271	你的学习成绩退步了。	Nǐ de xuéxí chéngjì tuìbù le.	You have fallen behind in your grades.
4272	停车场是免费的。	tíngchēchǎng shì miǎnfèi de .	The parking lot is free of charge.
4273	大家聚集在一起。	Dàjiā jùjí zài yīqǐ.	Everyone gathered together.
4274	街上聚集了很多民众。	Jiēshang jùjíle hěn duō mínzhòng.	Many people have gathered in the street.
4275	民众上街抗议。	Mínzhòng shàngjiē kàngyì.	The masses protested on the streets.
4276	这辆轿车很豪华。	Zhè liàng jiàochē hěn háohuá.	This car is very luxurious.
4277	她和小姨在看书。	Tā hé xiǎoyí zài kànshū.	She's reading with her youngest aunt.
4278	法官在断案。	Fǎguān zài duàn'àn.	The judge is deciding a case.
4279	国家出台了一个新法案。	Guójiā chūtái le yīge xīn fǎ'àn.	The government issued a new bill.
4280	新法案已经实施了。	Xīn fǎ'àn yǐjing shíshī le.	The new bill has been enacted.
4281	他又添了一杯酒。	Tā yòu tiānle yī bēi jiǔ.	He had another glass of wine.
4282	让我瞧一瞧。	Ràng wǒ qiáo yī qiáo.	Let me have a look.
4283	地铁间隔五分钟一班。	Dìtiě jiàngé wǔ fēnzhōng yī bān.	The subway comes every five minutes.
4284	他持有中国护照。	Tā chíyǒu Zhōngguó hùzhào.	He holds a Chinese passport.
4285	飞机将要起飞。	Fēijī jiāngyào qǐfēi.	The plane is about to take off.
4286	月球是地球唯一的卫星。	yuèqiú shì dìqiú wéiyī de wèixīng .	The moon is the earth's only satellite.
4287	假如美国受到攻击，老百姓的心理会怎么样？	Jiǎrú Měiguó shòu dào gōngjī, lǎobǎixìng de xīnlǐ huì zěnmeyàng?	What will people feel if the United States is attacked?
4288	他非常喜欢棒球。	tā fēicháng xǐhuān bàngqiú .	He likes baseball very very much.
4289	他既会打网球，又会打棒球。	tā jì huì dǎ wǎngqiú , yòu huì dǎ bàngqiú .	He can play both tennis and baseball.
4290	他不太关注棒球。	tā bù tài guānzhù bàngqiú.	He doesn't pay too much attention to baseball.
4291	你喜欢棒球到什么程度？	nǐ xǐhuān bàngqiú dào shénme chéngdù?	To what level are you interested in baseball?
4292	我会爱你一生一世。	Wǒ huì ài nǐ yīshēng-yīshì.	I will love you my whole life.
4293	她跳舞时的姿态很美。	Tā tiàowǔ shí de zītài hěn měi.	Her motions when dancing are beautiful.
4294	由于下雨，比赛取消了。	Yóuyú xiàyǔ, bǐsài qǔxiāo le.	Due to the rain, the game has been canceled.
4295	我该取消通话吗?	wǒ gāi qǔxiāo tōnghuà ma ?	Should I cancel the call?
4296	由于下雨比赛中断了。	Yóuyú xiàyǔ bǐsài zhōngduàn le.	The game has been suspended due to rain.
4297	公司制定了这项奖罚制度。	Gōngsī zhìdìng le Zhèxiàng jiǎngfá zhìdù.	The company established this award/penalty system.
4298	不仅他们，连我也被老师罚了。	bùjǐn tāmen, lián wǒ yě bèi lǎoshī fá le.	Not only they but also I was scolded by the teacher.
4299	民众容易被舆论影响。	Mínzhòng róngyì bèi yúlùn yǐngxiǎng.	People are easily influenced by public opinion.
4300	小朋友们依次排队上车。	Xiǎo péngyǒumen yīcì páiduì shàngchē.	The children line up to board the school bus.
4301	他很调皮。	Tā hěn tiáopí.	He's very naughty.
4302	冰箱坏了。	Bīngxiāng huài le.	The refrigerator is broken.
4303	你们俩是什么关系?	Nǐmen liǎ shì shénme guānxi?	What's the relationship between you?
4304	孩子觉得自己很无辜。	Háizi juéde zìjǐ hěn wúgū.	The child felt he had been being wronged.
4305	当他问起是谁打破了窗户时，所有的男生都显得很无辜。	dāng tā wèn qǐ shì shéi dǎpò le chuānghu shí , suǒyǒu de nánshēng dōu xiǎnde hěn wúgū .	When he asked who had broken the window, all the boys put on an air of innocence.
4306	一升油多少钱？	Yī shēng yóu duōshaoqián?	How much does one liter of oil cost?
4307	这匹马真乖。	Zhè pǐ mǎ zhēn guāi.	This horse is very well-behaved.
4308	我的女儿很乖。	Wǒ de nǚ'ér hěn guāi.	My daughter is a very good girl.
4309	看那座被雪覆盖的山。	kàn nà zuò bèi xuě fùgài de shān .	Look at that mountain which is covered with snow.
4310	大雪覆盖着大地。	Dàxuě fùgàizhe dàdì.	Heavy snow covered the ground.
4311	整个国家被大雪覆盖了。	zhěng gè guójiā bèi dàxuě fùgài le .	The whole country was covered with snow.
4312	学校因大雪停课一天。	xuéxiào yīn dàxuě tíng kè yī tiān .	School was closed for the day due to the snow.
4313	今天风和日丽。	Jīntiān fēnghé-rìlì.	It's a beautiful day today, with gentle breezes and bright sunshine.
4314	监狱里关押着很多犯人。	Jiānyù li guānyā zhe hěn duō fànrén.	There are a lot of criminals being kept in prison.
